Carimbo de data/hora|ID|Turma|O tempo disponível para a prova foi suficiente?|Como você avalia o nível de dificuldade geral da prova?|"A possibilidade de deixar 2 questões sem fazer influenciou sua estratégia na prova?
"|Você revisou a prova antes de entregar?|Como você avalia o nível de dificuldade da prova?  |Você achou a prova coerente com o que foi visto em aula (exposição, materiais de aula, simulados)? |Qual tipo de questão foi mais difícil?|O que mais pode ter impactado no seu desempenho?|Qual nota você acha que tirou? (0 a 21 pontos)|Quantas horas você estudou especificamente para esta prova?|Você fez os simulados disponibilizados? [Simulado 01]|Você fez os simulados disponibilizados? [Simulado 02]|Você fez os simulados disponibilizados? [Simulado 03]|Quais materiais você usou para estudar? (pode marcar mais de um)|Como você se preparou, em termos de distribuição do estudo?|Quais tema/conteúdo você teve mais facilidade em compreender? Avalie de acordo com a escala [Processo KDD e visão geral de Ciência de Dados]|Quais tema/conteúdo você teve mais facilidade em compreender? Avalie de acordo com a escala [Tipos de dados e tipos de bases de dados]|Quais tema/conteúdo você teve mais facilidade em compreender? Avalie de acordo com a escala [Qualidade de dados: valores ausentes, ruídos, artefatos, etc]|Quais tema/conteúdo você teve mais facilidade em compreender? Avalie de acordo com a escala [Agregação]|Quais tema/conteúdo você teve mais facilidade em compreender? Avalie de acordo com a escala [Amostragem]|Quais tema/conteúdo você teve mais facilidade em compreender? Avalie de acordo com a escala [Redução de dimensionalidade]|Quais tema/conteúdo você teve mais facilidade em compreender? Avalie de acordo com a escala [Seleção de atributos]|Quais tema/conteúdo você teve mais facilidade em compreender? Avalie de acordo com a escala [Criação de atributos]|Quais tema/conteúdo você teve mais facilidade em compreender? Avalie de acordo com a escala [Discretização e Binarização]|Quais tema/conteúdo você teve mais facilidade em compreender? Avalie de acordo com a escala [Transformação de variáveis]|Quais tema/conteúdo você teve mais facilidade em compreender? Avalie de acordo com a escala [Similaridade entre atributos simples]|Quais tema/conteúdo você teve mais facilidade em compreender? Avalie de acordo com a escala [Distâncias de Minkowski]|Quais tema/conteúdo você teve mais facilidade em compreender? Avalie de acordo com a escala [Coeficientes SMC e Jaccard para dados binarizados]|Quais tema/conteúdo você teve mais facilidade em compreender? Avalie de acordo com a escala [Similaridade pelo cosseno]|Quais tema/conteúdo você teve mais facilidade em compreender? Avalie de acordo com a escala [Similaridade entre objetos de dados heterogêneos]|Em uma escala de 0 a 5, o quanto você se considera participativo nas aulas?|Quais aspectos das aulas contribuíram mais para seu aprendizado? (marque até 3)
4/14/2026 9:36:05|35188|Turma 2|Sim, usei quase todo o tempo|Adequado|Não, tentei responder todas|Não|3|5|Todas igualmente|Falta de estudo|12|3h|Fiz parcialmente, sozinho(a)|Fiz parcialmente, sozinho(a)|Fiz parcialmente, sozinho(a)|Slides das aulas, Simulados da disciplina, Inteligência artificial (ChatGPT, Claude, etc.)|Estudei nos 2 a 3 dias anteriores|Entendi com facilidade|Entendi com facilidade|Entendi apenas a teoria|Entendi com facilidade|Entendi apenas a teoria|Não entendi bem|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Não entendi bem|Não entendi bem|Não entendi bem|Entendi apenas a teoria|3|Exemplos práticos com código, Simulados, Discussões e perguntas durante a aula
4/14/2026 9:36:11|45444|Turma 2|Sim, sobrou tempo|Fácil|"Sim, usei como ""segurança"", mas tentei todas"|Sim|2|5|Cálculo / métrica|Interpretação das questões|14|cerca de 4h ao longo da semana|Fiz tudo, sozinho(a)|Fiz tudo, sozinho(a)|Fiz tudo, usando IA|Slides das aulas, Simulados da disciplina, Resumos do livro, Inteligência artificial (ChatGPT, Claude, etc.)|Estudei ao longo da semana antes da prova|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi apenas a teoria|Não entendi bem|Entendi apenas a teoria|Não entendi bem|Entendi apenas a teoria|4|Exercícios em aula, Explicação teórica dos conceitos, Simulados
4/14/2026 9:39:47|32164|Turma 1|Sim, sobrou tempo|Difícil|Não, tentei responder todas|Sim|4|3|Todas igualmente|Falta de estudo|12|4h|Fiz parcialmente, usando IA|Fiz parcialmente, usando IA|Fiz parcialmente, usando IA|Simulados da disciplina, Resumos do livro, Inteligência artificial (ChatGPT, Claude, etc.)|Estudei só na véspera ou no dia da prova|Não entendi bem|Não entendi bem|Não entendi bem|Não entendi bem|Não entendi bem|Não entendi bem|Não entendi bem|Não entendi bem|Não entendi bem|Não entendi bem|Não entendi bem|Não entendi bem|Não entendi bem|Não entendi bem|Não entendi bem|2|Simulados
4/14/2026 9:45:36|32852|Turma 2|Sim, usei quase todo o tempo|Adequado|"Sim, usei como ""segurança"", mas tentei todas"|Sim|3|4|Cálculo / métrica|Falta de estudo|14|9|Fiz parcialmente, sozinho(a)|Fiz parcialmente, usando IA|Fiz parcialmente, usando IA|Simulados da disciplina, Áudios das aulas, Resumos do livro, Inteligência artificial (ChatGPT, Claude, etc.)|Estudei nos 2 a 3 dias anteriores|Entendi apenas a teoria|Entendi com facilidade|Entendi apenas a teoria|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi apenas a teoria|Entendi apenas a teoria|Entendi com facilidade|Entendi apenas a teoria|Entendi com facilidade|Não entendi bem|Não entendi bem|Entendi apenas a teoria|Não entendi bem|1|Exemplos práticos com código, Exercícios em aula, Discussões e perguntas durante a aula
4/14/2026 9:51:29|33780|Turma 1|Sim, usei quase todo o tempo|Adequado|"Sim, usei como ""segurança"", mas tentei todas"|Sim|3|4|Conceitual|Ansiedade/nervosismo|6|Durante 1 dia somente|Fiz tudo, sozinho(a)|Fiz parcialmente, usando IA|Fiz parcialmente, usando IA|Slides das aulas, Vídeos, Simulados da disciplina, Inteligência artificial (ChatGPT, Claude, etc.)|Estudei nos 2 a 3 dias anteriores|Entendi com facilidade|Entendi apenas a teoria|Entendi com facilidade|Não entendi bem|Entendi apenas a teoria|Não entendi bem|Entendi com facilidade|Entendi com facilidade|Não entendi bem|Entendi apenas a teoria|Entendi com facilidade|Não entendi bem|Entendi apenas a teoria|Não entendi bem|Entendi apenas a teoria|2|Exercícios em aula, Simulados
4/14/2026 9:52:39|9812|Turma 2|Sim, usei quase todo o tempo|Adequado|Sim, planejei estrategicamente quais deixar|Sim|3|4|Cálculo / métrica|Falta de estudo|14|12h|Fiz tudo, usando IA|Fiz tudo, usando IA|Não fiz|Slides das aulas, Vídeos, Inteligência artificial (ChatGPT, Claude, etc.)|Estudei nos 2 a 3 dias anteriores|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi apenas a teoria|Não entendi bem|Não entendi bem|Não entendi bem|Não entendi bem|Não entendi bem|Não entendi bem|2|Exemplos práticos com código, Exercícios em aula, Simulados
4/14/2026 9:56:14|42588|Turma 2|Sim, sobrou tempo|Difícil|Não, tentei responder todas|Sim|4|3|Conceitual|Falta de estudo|12,6|5|Fiz tudo, sozinho(a)|Fiz tudo, sozinho(a)|Não fiz|Simulados da disciplina, Áudios das aulas, Resumos do livro, Inteligência artificial (ChatGPT, Claude, etc.)|Estudei só na véspera ou no dia da prova|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi apenas a teoria|Não entendi bem|Não entendi bem|Não entendi bem|Não entendi bem|1|Simulados, Slides/material disponibilizado
4/14/2026 9:56:42|35524|Turma 2|Sim, sobrou tempo|Adequado|Sim, planejei estrategicamente quais deixar|Sim|2|5|Aplicação prática|Falta de estudo|Entre 8 a 14. Muito por conta de, em muitas questões ter ficado em dúvida entre 2 alternativas (por serem parecidas). Então, pode correr o risco de eu ter escolhido a alternativa errada ou a certa. É uma incógnita....|Mais ou menos 8 horas|Fiz parcialmente, sozinho(a)|Não fiz|Fiz parcialmente, sozinho(a)|Slides das aulas, Vídeos, Simulados da disciplina, Inteligência artificial (ChatGPT, Claude, etc.)|Estudei nos 2 a 3 dias anteriores|Entendi apenas a teoria|Entendi com facilidade|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Não entendi bem|Não entendi bem|Não entendi bem|Entendi apenas a teoria|Não entendi bem|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Não entendi bem|Não entendi bem|2|Explicação teórica dos conceitos, Simulados, Slides/material disponibilizado
4/14/2026 10:08:40|32708|Turma 1|Sim, sobrou tempo|Adequado|"Sim, usei como ""segurança"", mas tentei todas"|Sim|4|4|Interpretação de código|Interpretação das questões|13|Estudei o fim de semana, não sei a quantidade de horas ao certo. |Fiz tudo, usando IA|Fiz tudo, usando IA|Fiz tudo, usando IA|Slides das aulas, Notas/caderno pessoal, Simulados da disciplina, Inteligência artificial (ChatGPT, Claude, etc.)|Estudei nos 2 a 3 dias anteriores|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi apenas a teoria|Entendi apenas a teoria|Entendi com facilidade|Entendi com facilidade|Entendi apenas a teoria|Entendi apenas a teoria|Entendi apenas a teoria|Entendi com facilidade|Não entendi bem|Não entendi bem|Não entendi bem|Não entendi bem|3|Explicação teórica dos conceitos, Simulados, Slides/material disponibilizado
4/14/2026 10:14:17|36396|Turma 2|Sim, usei quase todo o tempo|Adequado|"Sim, usei como ""segurança"", mas tentei todas"|Não|3|5|Conceitual|Interpretação das questões|15|Não sei. Acho que mais de 5h por dia durante a ultima semana|Fiz parcialmente, sozinho(a)|Fiz parcialmente, sozinho(a)|Fiz parcialmente, sozinho(a)|Notas/caderno pessoal, Livros texto, Simulados da disciplina, Resumos do livro, Inteligência artificial (ChatGPT, Claude, etc.)|Estudei ao longo da semana antes da prova|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi com facilidade|Entendi apenas a teoria|Entendi apenas a teoria|Entendi com facilidade|Não entendi bem|Entendi com facilidade|Entendi apenas a teoria|Não entendi bem|Entendi com facilidade|Não entendi bem|Não entendi bem|3|Exemplos práticos com código, Simulados
