NOTA_CANDIDATO;NOTA_CORTE;MARGEM;CLASSIFICACAO;IDADE;QT_VAGAS_CONCORRENCIA;GRAU;TURNO;TIPO_MOD_CONCORRENCIA;TP_COTA;SEXO;OPCAO;MESMA_UF;EFETIVOU
699.85;660.69;39.15999999999997;3;18;15;Bacharelado;Noturno;A;AMPLA;M;2;1;0
709.21;660.69;48.51999999999998;1;18;15;Bacharelado;Noturno;A;AMPLA;M;1;1;1
699.22;660.69;38.52999999999997;4;20;15;Bacharelado;Noturno;A;AMPLA;F;1;1;1
700.65;660.69;39.95999999999992;2;21;15;Bacharelado;Noturno;A;AMPLA;M;2;0;0
694.57;660.69;33.879999999999995;5;25;15;Bacharelado;Noturno;A;AMPLA;M;1;1;1
590.44;568.0;22.440000000000055;3;21;4;Bacharelado;Noturno;L;PPI ;F;2;1;1
608.87;568.0;40.870000000000005;1;22;4;Bacharelado;Noturno;L;PPI ;F;1;1;0
543.13;568.0;-24.870000000000005;6;20;4;Bacharelado;Noturno;L;PPI ;F;1;1;0
568.0;568.0;0.0;4;20;4;Bacharelado;Noturno;L;PPI ;M;1;1;0
549.83;568.0;-18.16999999999996;5;23;4;Bacharelado;Noturno;L;PPI ;M;2;1;0
526.51;568.0;-41.49000000000001;7;18;4;Bacharelado;Noturno;L;PPI ;F;2;1;0
604.75;568.0;36.75;2;18;4;Bacharelado;Noturno;L;PPI ;M;1;1;1
582.85;611.98;-29.129999999999995;5;32;3;Bacharelado;Noturno;L;PPI ;M;2;1;0
604.35;611.98;-7.6299999999999955;4;48;3;Bacharelado;Noturno;L;PPI ;M;2;1;0
581.18;611.98;-30.800000000000068;6;19;3;Bacharelado;Noturno;L;PPI ;F;1;1;0
611.98;611.98;0.0;3;23;3;Bacharelado;Noturno;L;PPI ;M;1;1;0
578.75;611.98;-33.23000000000002;7;18;3;Bacharelado;Noturno;L;PPI ;F;1;1;0
630.84;611.98;18.860000000000014;2;21;3;Bacharelado;Noturno;L;PPI ;F;1;1;1
644.17;611.98;32.18999999999994;1;20;3;Bacharelado;Noturno;L;PPI ;F;2;1;1
658.91;650.89;8.019999999999982;1;26;2;Bacharelado;Noturno;L;D   ;M;2;0;1
709.38;699.26;10.120000000000005;1;30;2;Bacharelado;Noturno;L;D   ;M;2;1;0
699.26;699.26;0.0;2;18;2;Bacharelado;Noturno;L;D   ;M;1;1;1
691.25;665.07;26.17999999999995;8;21;25;Bacharelado;Integral;A;AMPLA;M;1;1;1
699.11;665.07;34.039999999999964;4;18;25;Bacharelado;Integral;A;AMPLA;M;2;1;1
699.32;665.07;34.25;3;19;25;Bacharelado;Integral;A;AMPLA;M;1;1;1
688.35;665.07;23.279999999999973;11;19;25;Bacharelado;Integral;A;AMPLA;M;1;1;1
687.43;665.07;22.3599999999999;12;18;25;Bacharelado;Integral;A;AMPLA;M;2;1;1
698.46;665.07;33.389999999999986;5;19;25;Bacharelado;Integral;A;AMPLA;M;2;1;1
699.92;665.07;34.84999999999991;2;20;25;Bacharelado;Integral;A;AMPLA;M;1;1;1
699.99;665.07;34.91999999999996;1;18;25;Bacharelado;Integral;A;AMPLA;F;1;1;1
690.35;665.07;25.279999999999973;9;20;25;Bacharelado;Integral;A;AMPLA;F;1;1;1
596.66;576.0;20.659999999999968;1;22;5;Bacharelado;Integral;L;PPI ;M;1;1;1
567.71;567.71;0.0;5;20;5;Bacharelado;Integral;L;PPI ;F;1;1;1
625.76;567.71;58.049999999999955;1;18;5;Bacharelado;Integral;L;PPI ;F;2;1;1
614.75;567.71;47.039999999999964;2;23;5;Bacharelado;Integral;L;PPI ;M;1;1;1
616.39;597.75;18.639999999999986;4;21;5;Bacharelado;Integral;L;D   ;M;1;1;1
736.83;710.87;25.960000000000036;1;18;20;Bacharelado;Integral;A;AMPLA;M;1;1;1
735.69;710.87;24.82000000000005;2;19;20;Bacharelado;Integral;A;AMPLA;M;2;1;1
728.49;710.87;17.620000000000005;7;18;20;Bacharelado;Integral;A;AMPLA;M;1;1;1
732.57;710.87;21.700000000000045;5;18;20;Bacharelado;Integral;A;AMPLA;F;1;1;1
723.92;710.87;13.049999999999955;10;19;20;Bacharelado;Integral;A;AMPLA;M;2;1;1
721.15;710.87;10.279999999999973;12;18;20;Bacharelado;Integral;A;AMPLA;F;2;1;1
721.68;710.87;10.809999999999945;11;24;20;Bacharelado;Integral;A;AMPLA;M;2;1;1
733.05;710.87;22.17999999999995;4;19;20;Bacharelado;Integral;A;AMPLA;M;1;1;1
