NOTA_CANDIDATO;NOTA_CORTE;MARGEM;CLASSIFICACAO;IDADE;QT_VAGAS_CONCORRENCIA;GRAU;TURNO;TIPO_MOD_CONCORRENCIA;TP_COTA;SEXO;OPCAO;MESMA_UF;EFETIVOU
583.39;571.2;12.18999999999994;5;18;6;Bacharelado;Noturno;L;PPI ;F;2;1;1
590.95;527.17;63.780000000000086;5;29;17;Bacharelado;Noturno;A;AMPLA;F;1;1;1
599.43;562.44;36.989999999999895;12;18;25;Bacharelado;Vespertino;A;AMPLA;F;1;1;1
606.4;630.17;-23.769999999999982;10;19;5;Bacharelado;Integral;L;PPI ;F;1;1;0
632.37;661.27;-28.899999999999977;11;18;4;Bacharelado;Integral;L;PPI ;F;1;1;1
514.38;501.34;13.04000000000002;4;28;5;Tecnológico;Noturno;L;PPI ;F;1;1;0
618.95;678.89;-59.93999999999994;129;19;12;Bacharelado;Integral;V;AMPLA;F;2;0;0
590.56;542.48;48.07999999999993;4;20;6;Licenciatura;Integral;A;AMPLA;M;2;0;1
692.25;690.36;1.8899999999999864;24;18;27;Bacharelado;Integral;A;AMPLA;F;2;0;0
644.1;657.38;-13.279999999999973;10;21;6;Bacharelado;Integral;L;PPI ;F;1;0;0
604.43;623.23;-18.800000000000068;26;20;15;Bacharelado;Integral;A;AMPLA;F;1;1;1
469.76;510.38;-40.620000000000005;4;21;2;Bacharelado;Integral;L;PPI ;M;1;1;1
652.39;611.95;40.43999999999994;2;19;8;Bacharelado;Integral;L;D   ;F;1;1;0
663.44;645.17;18.270000000000095;3;19;15;Bacharelado;Vespertino;A;AMPLA;F;1;1;1
606.53;548.24;58.289999999999964;3;19;25;Bacharelado;Integral;A;AMPLA;F;1;0;1
661.4;661.4;0.0;15;18;15;Bacharelado;Matutino;A;AMPLA;F;1;0;0
641.17;558.06;83.11000000000001;1;20;25;Bacharelado;Integral;A;AMPLA;F;1;1;1
629.29;560.92;68.37;12;34;17;Bacharelado;Integral;A;AMPLA;F;1;0;1
623.24;611.01;12.230000000000018;1;18;3;Bacharelado;Integral;L;PPI ;F;1;0;0
543.7;555.84;-12.139999999999986;28;19;20;Licenciatura;Integral;A;AMPLA;F;1;1;1
601.77;571.64;30.129999999999995;5;26;9;Licenciatura;Integral;A;AMPLA;F;1;1;1
612.24;644.11;-31.870000000000005;22;21;6;Bacharelado;Noturno;L;D   ;F;1;1;0
556.44;555.08;1.3600000000000136;7;18;8;Licenciatura;Integral;L;PP  ;F;1;1;0
627.92;569.1;58.819999999999936;4;20;14;Licenciatura;Matutino;A;AMPLA;M;1;1;1
503.78;532.34;-28.56000000000006;5;19;4;Bacharelado;Noturno;L;PPI ;M;2;0;0
478.36;490.82;-12.45999999999998;6;24;5;Licenciatura;Vespertino;L;PP  ;F;2;1;1
576.88;586.66;-9.779999999999973;9;25;7;Tecnológico;Matutino;A;AMPLA;M;2;1;1
691.24;675.3;15.940000000000055;8;18;15;Bacharelado;Integral;A;AMPLA;M;1;0;0
761.26;760.36;0.8999999999999773;2;21;3;Bacharelado;Integral;L;D   ;F;1;1;1
634.98;609.52;25.460000000000036;5;18;15;Bacharelado;Integral;A;AMPLA;F;1;1;0
501.08;;;10;19;17;Bacharelado;Noturno;A;AMPLA;M;2;1;0
571.23;564.69;6.539999999999964;1;22;4;Bacharelado;Vespertino;L;D   ;F;1;1;0
635.66;678.89;-43.23000000000002;100;18;15;Bacharelado;Integral;A;AMPLA;F;1;0;0
553.91;526.1;27.809999999999945;1;19;20;Tecnológico;Noturno;A;AMPLA;M;1;1;1
567.06;518.02;49.039999999999964;3;22;8;Bacharelado;Integral;L;D   ;M;1;0;0
622.5;687.38;-64.88;135;19;16;Bacharelado;Noturno;V;AMPLA;M;2;1;0
607.45;579.09;28.360000000000014;10;19;20;Bacharelado;Noturno;A;AMPLA;F;1;1;1
568.28;621.69;-53.41000000000008;48;20;20;Bacharelado;Vespertino;B;AMPLA;F;1;1;0
530.16;627.68;-97.51999999999998;27;19;3;Licenciatura;Vespertino;A;AMPLA;F;1;1;1
552.9;560.23;-7.330000000000041;5;18;4;Bacharelado;Integral;L;PPI ;F;2;1;0
559.84;549.96;9.879999999999995;3;24;16;Licenciatura;Noturno;A;AMPLA;M;2;1;0
607.14;607.14;0.0;4;18;4;Licenciatura;Vespertino;L;D   ;F;1;1;1
585.22;775.21;-189.99;571;19;9;Bacharelado;Integral;A;AMPLA;F;2;0;0
629.51;688.93;-59.41999999999996;10;35;4;Bacharelado;Noturno;L;D   ;M;1;1;0
637.4;555.69;81.70999999999992;5;21;16;Bacharelado;Integral;A;AMPLA;M;1;0;1
525.88;460.96;64.92000000000002;1;25;2;Bacharelado;Noturno;L;PPI ;F;1;1;1
632.08;662.62;-30.539999999999964;18;22;6;Bacharelado;Integral;L;PPI ;F;1;1;0
615.22;766.64;-151.41999999999996;290;20;10;Bacharelado;Integral;L;D   ;F;2;0;0
611.45;605.91;5.540000000000077;11;31;15;Licenciatura;Noturno;A;AMPLA;F;1;1;0
500.56;500.56;0.0;2;23;2;Bacharelado;Integral;L;PPI ;F;1;1;1
575.65;606.71;-31.06000000000006;66;18;16;Bacharelado;Integral;V;AMPLA;M;1;0;0
640.88;687.38;-46.5;100;20;16;Bacharelado;Noturno;V;AMPLA;F;1;0;0
622.78;640.0;-17.220000000000027;64;18;20;Bacharelado;Integral;A;AMPLA;F;1;1;1
582.85;488.68;94.17000000000002;4;20;20;Licenciatura;Integral;A;AMPLA;F;1;1;0
562.86;533.34;29.519999999999982;7;19;20;Bacharelado;Noturno;A;AMPLA;M;2;0;0
602.09;566.07;36.01999999999998;7;36;17;Bacharelado;Vespertino;B;AMPLA;M;1;1;0
540.59;645.55;-104.95999999999992;93;20;15;Licenciatura;Matutino;B;AMPLA;M;2;1;0
629.13;739.15;-110.01999999999998;177;21;11;Bacharelado;Integral;L;PPI ;M;2;1;0
492.26;464.66;27.599999999999966;1;19;2;Bacharelado;Noturno;L;PPI ;M;1;1;1
567.34;616.72;-49.379999999999995;18;18;8;Bacharelado;Integral;L;PPI ;M;1;1;0
514.63;;;1;21;6;Bacharelado;Integral;L;PPI ;M;1;1;1
534.17;572.11;-37.940000000000055;34;19;20;Bacharelado;Vespertino;A;AMPLA;M;1;0;1
410.39;567.45;-157.06000000000006;22;19;5;Bacharelado;Integral;L;PPI ;F;1;1;0
643.9;628.24;15.659999999999968;8;19;11;Área Básica de Ingresso (ABI);Noturno;A;AMPLA;F;1;1;1
580.8;608.32;-27.520000000000095;11;23;7;Tecnológico;Integral;L;PPI ;F;1;1;0
462.0;564.17;-102.16999999999996;4;18;2;Bacharelado;Integral;L;PPI ;M;2;1;0
481.68;481.68;0.0;6;18;6;Bacharelado;Vespertino;L;PP  ;F;1;1;0
636.15;766.64;-130.49;249;18;10;Bacharelado;Integral;L;D   ;M;2;1;0
578.36;601.84;-23.480000000000018;9;39;5;Bacharelado;Integral;L;PPI ;F;2;1;0
553.67;672.12;-118.45000000000005;201;19;12;Bacharelado;Integral;V;AMPLA;F;1;1;0
641.76;646.84;-5.080000000000041;16;21;7;Bacharelado;Noturno;A;AMPLA;M;1;0;0
674.48;702.8;-28.319999999999936;13;25;5;Bacharelado;Noturno;L;D   ;M;1;1;1
