NOTA_CANDIDATO;NOTA_CORTE;MARGEM;CLASSIFICACAO;IDADE;QT_VAGAS_CONCORRENCIA;GRAU;TURNO;TIPO_MOD_CONCORRENCIA;TP_COTA;SEXO;OPCAO;MESMA_UF;EFETIVOU
601.72;669.74;-68.01999999999998;57;19;15;Bacharelado;Matutino;B;AMPLA;F;1;1;0
513.89;521.82;-7.930000000000064;6;21;5;Bacharelado;Noturno;L;PPI ;M;1;1;0
661.6;696.81;-35.20999999999992;14;18;5;Bacharelado;Matutino;L;D   ;F;2;0;0
529.47;531.03;-1.5599999999999454;5;19;4;Bacharelado;Noturno;L;PPI ;F;1;1;0
596.8;630.87;-34.07000000000005;16;24;7;Bacharelado;Noturno;L;PPI ;M;2;0;0
610.34;662.79;-52.44999999999993;29;18;6;Bacharelado;Integral;A;AMPLA;F;1;1;0
561.99;530.68;31.31000000000006;18;20;10;Bacharelado;Integral;A;AMPLA;F;2;1;0
682.89;699.13;-16.24000000000001;6;20;3;Bacharelado;Integral;L;D   ;F;1;0;0
741.51;795.7;-54.190000000000055;279;20;45;Bacharelado;Integral;A;AMPLA;F;1;0;0
614.63;630.78;-16.149999999999977;27;23;9;Bacharelado;Integral;A;AMPLA;F;1;1;0
544.05;495.13;48.91999999999996;6;19;15;Tecnológico;Matutino;A;AMPLA;F;2;1;0
485.9;645.51;-159.61;54;26;1;Bacharelado;Noturno;V;AMPLA;F;1;1;0
714.13;719.51;-5.3799999999999955;34;18;24;Bacharelado;Noturno;A;AMPLA;F;1;1;0
653.7;630.78;22.920000000000073;7;21;9;Bacharelado;Integral;A;AMPLA;F;2;1;0
602.04;618.28;-16.24000000000001;32;31;9;Bacharelado;Integral;A;AMPLA;F;2;1;0
618.19;600.37;17.82000000000005;1;19;4;Bacharelado;Integral;L;PPI ;F;1;0;0
496.5;525.18;-28.67999999999995;20;24;12;Tecnológico;Noturno;B;AMPLA;F;2;1;0
719.97;687.22;32.75;1;18;3;Bacharelado;Integral;L;D   ;M;2;0;0
532.3;532.42;-0.12000000000000455;11;18;7;Bacharelado;Integral;A;AMPLA;F;2;0;0
767.67;747.23;20.43999999999994;22;20;90;Bacharelado;Integral;A;AMPLA;M;1;0;1
593.32;593.32;0.0;5;19;5;Bacharelado;Integral;L;PPI ;F;1;1;0
679.7;766.64;-86.93999999999994;181;24;10;Bacharelado;Integral;L;D   ;F;2;0;0
438.94;683.21;-244.27000000000004;126;21;3;Bacharelado;Vespertino;A;AMPLA;M;2;1;0
536.58;525.57;11.009999999999991;4;28;5;Licenciatura;Noturno;L;PPI ;M;1;1;0
456.27;456.27;0.0;1;24;1;Tecnológico;Vespertino;L;D   ;M;1;1;0
423.01;423.24;-0.2300000000000182;31;20;7;Bacharelado;Integral;V;AMPLA;M;1;0;1
537.14;514.16;22.980000000000018;21;32;25;Bacharelado;Noturno;A;AMPLA;M;1;1;1
567.12;530.08;37.039999999999964;10;19;10;Licenciatura;Matutino;A;AMPLA;F;1;1;0
555.89;594.63;-38.74000000000001;21;19;15;Bacharelado;Integral;A;AMPLA;F;2;1;1
580.56;638.3;-57.74000000000001;18;20;3;Licenciatura;Vespertino;A;AMPLA;F;1;1;0
539.88;637.14;-97.25999999999999;28;42;12;Bacharelado;Integral;A;AMPLA;M;2;1;0
