NOTA_CANDIDATO;NOTA_CORTE;MARGEM;CLASSIFICACAO;IDADE;QT_VAGAS_CONCORRENCIA;GRAU;TURNO;TIPO_MOD_CONCORRENCIA;TP_COTA;SEXO;OPCAO;MESMA_UF;EFETIVOU
542.13;;;2;19;3;Bacharelado;Integral;L;D   ;M;1;1;0
582.46;520.15;62.31000000000006;18;20;28;Bacharelado;Noturno;A;AMPLA;M;2;1;1
462.98;649.03;-186.04999999999995;11;20;4;Bacharelado;Integral;L;D   ;M;1;1;0
537.98;696.99;-159.01;112;18;35;Bacharelado;Integral;A;AMPLA;M;1;1;0
700.78;775.21;-74.43000000000006;236;19;1;Bacharelado;Integral;V;AMPLA;F;1;0;1
691.34;691.34;0.0;1;25;1;Bacharelado;Integral;L;DD  ;M;1;0;0
619.35;524.25;95.10000000000002;2;19;20;Bacharelado;Integral;A;AMPLA;M;2;1;0
547.56;621.35;-73.79000000000008;6;19;1;Bacharelado;Vespertino;L;D   ;F;2;1;0
601.47;540.06;61.41000000000008;7;20;6;Bacharelado;Integral;A;AMPLA;F;1;1;0
471.5;461.68;9.819999999999993;10;31;11;Licenciatura;Noturno;B;AMPLA;M;1;1;1
545.46;558.68;-13.219999999999914;20;20;14;Bacharelado;Matutino;A;AMPLA;F;1;0;0
510.28;741.93;-231.64999999999998;97;20;20;Bacharelado;Integral;A;AMPLA;M;1;1;0
495.84;542.28;-46.44;2;20;1;Bacharelado;Noturno;L;D   ;F;1;1;0
633.08;775.21;-142.13;449;19;9;Bacharelado;Integral;A;AMPLA;F;1;1;0
593.76;585.28;8.480000000000018;2;19;5;Bacharelado;Integral;L;PPI ;F;2;1;0
517.97;517.97;0.0;7;20;7;Bacharelado;Integral;A;AMPLA;F;2;1;0
544.8;522.94;21.8599999999999;23;20;15;Bacharelado;Vespertino;A;AMPLA;F;2;1;0
559.73;605.99;-46.25999999999999;76;63;15;Bacharelado;Integral;A;AMPLA;M;1;0;1
564.06;590.12;-26.06000000000006;24;25;8;Licenciatura;Vespertino;A;AMPLA;F;1;1;1
568.75;551.88;16.870000000000005;3;19;4;Bacharelado;Matutino;L;PPI ;M;1;1;1
528.01;561.55;-33.539999999999964;23;19;17;Tecnológico;Noturno;B;AMPLA;F;2;1;0
620.93;646.64;-25.710000000000036;14;28;6;Licenciatura;Matutino;A;AMPLA;F;1;1;1
532.98;532.98;0.0;2;18;2;Bacharelado;Noturno;L;D   ;F;2;0;0
616.79;620.24;-3.4500000000000455;28;19;25;Bacharelado;Integral;A;AMPLA;F;1;1;1
469.91;514.16;-44.24999999999994;12;23;5;Bacharelado;Integral;L;PPI ;F;1;1;0
573.83;549.1;24.730000000000018;2;40;6;Licenciatura;Matutino;L;PPI ;M;1;1;1
654.24;632.97;21.269999999999982;4;19;12;Licenciatura;Vespertino;B;AMPLA;F;2;1;0
642.95;502.53;140.42000000000007;3;18;25;Bacharelado;Vespertino;A;AMPLA;M;1;1;0
487.36;;;5;28;6;Licenciatura;Noturno;A;AMPLA;F;2;1;1
714.24;750.44;-36.200000000000045;92;22;13;Bacharelado;Integral;L;D   ;F;2;0;0
650.18;650.18;0.0;8;29;8;Bacharelado;Noturno;L;PP  ;M;2;1;0
577.38;775.21;-197.83000000000004;582;22;6;Bacharelado;Integral;V;AMPLA;F;2;1;0
570.46;;;2;20;15;Bacharelado;Noturno;A;AMPLA;F;1;0;1
579.88;573.85;6.029999999999973;10;19;15;Bacharelado;Integral;B;AMPLA;M;1;1;0
541.43;544.21;-2.7800000000000864;8;21;6;Licenciatura;Integral;L;PPI ;F;2;1;1
546.51;593.26;-46.75;7;18;4;Bacharelado;Integral;L;PPI ;F;1;1;0
529.2;535.03;-5.829999999999927;3;19;2;Bacharelado;Noturno;L;PPI ;F;1;1;1
678.3;662.83;15.469999999999914;14;27;25;Bacharelado;Noturno;A;AMPLA;M;2;1;0
412.66;520.78;-108.11999999999995;15;20;4;Bacharelado;Integral;L;PPI ;F;1;1;1
640.0;588.04;51.960000000000036;9;19;20;Bacharelado;Integral;A;AMPLA;F;2;1;0
555.88;450.21;105.67000000000002;4;20;5;Licenciatura;Noturno;A;AMPLA;F;1;1;0
677.88;658.46;19.41999999999996;10;19;28;Bacharelado;Integral;A;AMPLA;F;1;1;1
498.18;580.55;-82.36999999999995;12;29;5;Área Básica de Ingresso (ABI);Integral;L;PPI ;F;2;1;1
529.24;597.79;-68.54999999999995;14;22;6;Bacharelado;Noturno;A;AMPLA;F;2;1;1
488.06;488.06;0.0;4;19;4;Bacharelado;Integral;L;PPI ;M;1;1;0
506.61;682.65;-176.03999999999996;61;19;15;Bacharelado;Integral;A;AMPLA;F;1;1;0
603.7;599.4;4.300000000000068;4;19;5;Bacharelado;Integral;L;PPI ;M;2;1;0
630.34;626.26;4.080000000000041;5;19;6;Bacharelado;Noturno;L;PP  ;M;1;1;1
537.64;570.26;-32.620000000000005;35;43;24;Bacharelado;Noturno;A;AMPLA;M;1;1;1
649.16;662.73;-13.57000000000005;35;20;8;Bacharelado;Noturno;V;AMPLA;M;1;1;0
492.86;;;1;18;5;Bacharelado;Integral;L;PPI ;F;2;0;0
786.62;785.56;1.0600000000000591;8;19;12;Bacharelado;Integral;A;AMPLA;M;1;0;1
602.8;539.04;63.75999999999999;5;24;17;Licenciatura;Noturno;A;AMPLA;F;2;0;0
552.4;572.28;-19.879999999999995;21;35;15;Tecnológico;Matutino;B;AMPLA;M;2;1;0
547.57;614.59;-67.01999999999998;24;18;4;Licenciatura;Matutino;L;PPI ;F;1;1;1
609.72;541.48;68.24000000000001;5;20;67;Bacharelado;Integral;A;AMPLA;M;2;1;1
564.64;630.78;-66.13999999999999;55;19;6;Bacharelado;Integral;V;AMPLA;F;1;1;0
649.47;694.3;-44.82999999999993;57;19;15;Bacharelado;Integral;A;AMPLA;F;2;1;0
520.76;518.66;2.1000000000000227;24;19;21;Bacharelado;Matutino;A;AMPLA;F;2;1;0
623.81;775.21;-151.4000000000001;483;19;9;Bacharelado;Integral;A;AMPLA;F;2;0;0
554.99;419.83;135.16000000000003;11;23;37;Tecnológico;EaD;A;AMPLA;F;1;1;1
594.71;502.53;92.18000000000006;16;20;25;Bacharelado;Vespertino;A;AMPLA;M;1;1;0
